,pearsonr,pvalue
RARa,0.5187145570074512,2.5860874564969414e-06
FXR,0.210502497587331,4.874080600884274e-07
RORy,0.3611672603744804,1.04051416679352e-24
PXR,-0.14950236603528252,0.046396743192414464
TRa,0.556195076665595,0.00015948661005849965
CAR,0.4583039266999221,0.010865233969392271
