,pearsonr,pvalue
RARa,0.1456419113412703,0.22555373956788294
FXR,0.12669440300290388,0.002915688706637729
RORy,0.21232525241011005,6.449762763511135e-08
PPARy,0.3556960794358491,2.4490231593502236e-51
PXR,0.3683596394836478,7.158171695371739e-07
TRa,-0.005503822178207652,0.9727559289993861
CAR,0.003260727969799303,0.9863561533179529
