,spearmanr,pvalue
RARa,0.57238059977786,1.2188795591418226e-07
FXR,0.4583133816650092,1.7495431155503265e-30
RORy,0.26901121984101606,5.334349410074922e-14
PXR,-0.16381343697236708,0.028894161706483977
TRa,0.5696864111498259,0.00010122416760525664
CAR,0.19154616240266964,0.3105873971119167
