,pearsonr,pvalue
RARa,0.10260952503813148,0.394487656873229
FXR,0.28495805204816993,9.80532769136705e-12
RORy,0.3732245977593285,1.8758473108850855e-22
PPARy,0.17377979018275483,7.153904519448561e-13
PXR,0.17590846598630488,0.02136871853557181
TRa,0.09315304175027457,0.5623959447232919
CAR,0.446754812354058,0.013325116084980652
