,spearmanr,pvalue
RARa,0.37442922374429227,0.0011004691997807323
FXR,0.774199560121687,3.989676958233849e-113
RORy,0.19736282450726883,4.462246089562922e-08
PXR,0.5611391924283643,3.732159899699112e-16
TRa,0.3263066202090593,0.03732975167161134
CAR,0.7850945494994438,2.790430730752017e-07
