,pearsonr,pvalue
RARa,0.3981961809501233,0.00048493432511953125
FXR,0.7595332501679796,1.7394189533167918e-106
RORy,0.22629277863287928,3.102978003113167e-10
PXR,0.29651070637910015,5.848805481271157e-05
TRa,0.06520432908613419,0.6854545401264222
CAR,0.8596053568953371,1.1749016439377565e-09
