mol,E_score1
s1c(nc(OCCOCC)c1C)-c1ccc(cc1)C(O)=O,-94.534
s1c(nc(OCCOCC)c1C)-c1ccc(cc1)C(O)=O,-94.8828
s1c(nc(OCCOCC)c1C)-c1ccc(cc1)C(O)=O,-92.7628
s1c(nc(OCCOCC)c1C)-c1ccc(cc1)C(O)=O,-92.129
s1c(nc(OCCOCC)c1C)-c1ccc(cc1)C(O)=O,-93.8648
s1c(nc(OCCOCC)c1C)-c1ccc(cc1)C(O)=O,-93.9288
s1c(nc(OCCOCC)c1C)-c1ccc(cc1)C(O)=O,-91.1992
s1c(nc(OCCOCC)c1C)-c1ccc(cc1)C(O)=O,-92.7064
s1c(nc(OCCOCC)c1C)-c1ccc(cc1)C(O)=O,-93.3944
s1c(nc(OCCOCC)c1C)-c1ccc(cc1)C(O)=O,-93.2116
s1c(nc(OCCOCC)c1C)-c1ccc(cc1)C(O)=O,-90.5536
s1c(nc(OCCOCC)c1C)-c1ccc(cc1)C(O)=O,-90.2408
s1c(nc(OCCOCC)c1C)-c1ccc(cc1)C(O)=O,-91.9421
s1c(nc(OCCOCC)c1C)-c1ccc(cc1)C(O)=O,-92.8162
s1c(nc(OCCOCC)c1C)-c1ccc(cc1)C(O)=O,-89.8834
s1c(nc(OCCOCC)c1C)-c1ccc(cc1)C(O)=O,-89.5723
s1c(nc(OCCOCC)c1C)-c1ccc(cc1)C(O)=O,-93.1393
s1c(nc(OCCOCC)c1C)-c1ccc(cc1)C(O)=O,-87.1133
s1c(nc(OCCOCC)c1C)-c1ccc(cc1)C(O)=O,-93.0129
s1c(nc(OCCOCC)c1C)-c1ccc(cc1)C(O)=O,-87.08
s1c(nc(OCCOCC)c1C)-c1ccc(cc1)C(O)=O,-88.7484
s1c(nc(OCCOCC)c1C)-c1ccc(cc1)C(O)=O,-90.7262
s1c(nc(OCCOCC)c1C)-c1ccc(cc1)C(O)=O,-90.9843
s1c(nc(OCCOCC)c1C)-c1ccc(cc1)C(O)=O,-88.5609
OC(=O)\C=C(\C=C\C=C(\C=C\C=1C(CCCC=1C)(C)C)/C)/C,-87.9092
OC(=O)\C=C(\C=C\C=C(\C=C\C=1C(CCCC=1C)(C)C)/C)/C,-92.4722
OC(=O)\C=C(\C=C\C=C(\C=C\C=1C(CCCC=1C)(C)C)/C)/C,-92.7115
OC(=O)\C=C(\C=C\C=C(\C=C\C=1C(CCCC=1C)(C)C)/C)/C,-87.721
OC(=O)\C=C(\C=C\C=C(\C=C\C=1C(CCCC=1C)(C)C)/C)/C,-88.7539
OC(=O)\C=C(\C=C\C=C(\C=C\C=1C(CCCC=1C)(C)C)/C)/C,-90.699
OC(=O)\C=C(\C=C\C=C(\C=C\C=1C(CCCC=1C)(C)C)/C)/C,-88.7861
OC(=O)\C=C(\C=C\C=C(\C=C\C=1C(CCCC=1C)(C)C)/C)/C,-90.5178
OC(=O)\C=C(\C=C\C=C(\C=C\C=1C(CCCC=1C)(C)C)/C)/C,-94.2739
OC(=O)\C=C(\C=C\C=C(\C=C\C=1C(CCCC=1C)(C)C)/C)/C,-96.5626
OC(=O)\C=C(\C=C\C=C(\C=C\C=1C(CCCC=1C)(C)C)/C)/C,-91.6555
OC(=O)\C=C(\C=C\C=C(\C=C\C=1C(CCCC=1C)(C)C)/C)/C,-99.2237
s1c(nc(OCCOCC)c1C)-c1ccc(cc1)C(O)=O,-95.8352
s1c(nc(OCCOCC)c1C)-c1ccc(cc1)C(O)=O,-96.0734
s1c(nc(OCCOCC)c1C)-c1ccc(cc1)C(O)=O,-98.0623
s1c(nc(OCCOCC)c1C)-c1ccc(cc1)C(O)=O,-96.1723
s1c(nc(OCCOCC)c1C)-c1ccc(cc1)C(O)=O,-93.783
s1c(nc(OCCOCC)c1C)-c1ccc(cc1)C(O)=O,-98.4117
s1c(nc(OCCOCC)c1C)-c1ccc(cc1)C(O)=O,-91.2566
s1c(nc(OCCOCC)c1C)-c1ccc(cc1)C(O)=O,-95.5587
s1c(nc(OCCOCC)c1C)-c1ccc(cc1)C(O)=O,-95.7967
s1c(nc(OCCOCC)c1C)-c1ccc(cc1)C(O)=O,-97.8876
s1c(nc(OCCOCC)c1C)-c1ccc(cc1)C(O)=O,-89.7062
s1c(nc(OCCOCC)c1C)-c1ccc(cc1)C(O)=O,-67.2813
OC(=O)\C=C(\C=C\C=C(\C=C\C=1C(CCCC=1C)(C)C)/C)/C,-75.5914
OC(=O)\C=C(\C=C\C=C(\C=C\C=1C(CCCC=1C)(C)C)/C)/C,-73.6905
OC(=O)\C=C(\C=C\C=C(\C=C\C=1C(CCCC=1C)(C)C)/C)/C,-69.7063
OC(=O)\C=C(\C=C\C=C(\C=C\C=1C(CCCC=1C)(C)C)/C)/C,-70.3972
OC(=O)\C=C(\C=C\C=C(\C=C\C=1C(CCCC=1C)(C)C)/C)/C,-73.4653
OC(=O)\C=C(\C=C\C=C(\C=C\C=1C(CCCC=1C)(C)C)/C)/C,-79.9861
OC(=O)\C=C(\C=C\C=C(\C=C\C=1C(CCCC=1C)(C)C)/C)/C,-80.7158
OC(=O)\C=C(\C=C\C=C(\C=C\C=1C(CCCC=1C)(C)C)/C)/C,-81.3141
OC(=O)\C=C(\C=C\C=C(\C=C\C=1C(CCCC=1C)(C)C)/C)/C,-80.4089
OC(=O)\C=C(\C=C\C=C(\C=C\C=1C(CCCC=1C)(C)C)/C)/C,-80.7809
OC(=O)\C=C(\C=C\C=C(\C=C\C=1C(CCCC=1C)(C)C)/C)/C,-80.8842
OC(=O)\C=C(\C=C\C=C(\C=C\C=1C(CCCC=1C)(C)C)/C)/C,-80.7541
s1c(nc(OCCOCC)c1C)-c1ccc(cc1)C(O)=O,-81.1525
s1c(nc(OCCOCC)c1C)-c1ccc(cc1)C(O)=O,-80.8589
s1c(nc(OCCOCC)c1C)-c1ccc(cc1)C(O)=O,-80.7203
s1c(nc(OCCOCC)c1C)-c1ccc(cc1)C(O)=O,-80.2623
s1c(nc(OCCOCC)c1C)-c1ccc(cc1)C(O)=O,-80.3513
s1c(nc(OCCOCC)c1C)-c1ccc(cc1)C(O)=O,-81.1527
s1c(nc(OCCOCC)c1C)-c1ccc(cc1)C(O)=O,-81.2578
s1c(nc(OCCOCC)c1C)-c1ccc(cc1)C(O)=O,-80.4099
s1c(nc(OCCOCC)c1C)-c1ccc(cc1)C(O)=O,-95.1326
s1c(nc(OCCOCC)c1C)-c1ccc(cc1)C(O)=O,-91.603
s1c(nc(OCCOCC)c1C)-c1ccc(cc1)C(O)=O,-91.2902
s1c(nc(OCCOCC)c1C)-c1ccc(cc1)C(O)=O,-95.1107
OC(=O)\C=C(\C=C\C=C(\C=C\C=1C(CCCC=1C)(C)C)/C)/C,-95.4619
OC(=O)\C=C(\C=C\C=C(\C=C\C=1C(CCCC=1C)(C)C)/C)/C,-96.3468
OC(=O)\C=C(\C=C\C=C(\C=C\C=1C(CCCC=1C)(C)C)/C)/C,-89.4669
OC(=O)\C=C(\C=C\C=C(\C=C\C=1C(CCCC=1C)(C)C)/C)/C,-96.2
OC(=O)\C=C(\C=C\C=C(\C=C\C=1C(CCCC=1C)(C)C)/C)/C,-89.5767
OC(=O)\C=C(\C=C\C=C(\C=C\C=1C(CCCC=1C)(C)C)/C)/C,-90.5403
OC(=O)\C=C(\C=C\C=C(\C=C\C=1C(CCCC=1C)(C)C)/C)/C,-95.0345
OC(=O)\C=C(\C=C\C=C(\C=C\C=1C(CCCC=1C)(C)C)/C)/C,-92.1118
OC(=O)\C=C(\C=C\C=C(\C=C\C=1C(CCCC=1C)(C)C)/C)/C,-95.5002
OC(=O)\C=C(\C=C\C=C(\C=C\C=1C(CCCC=1C)(C)C)/C)/C,-92.2993
OC(=O)\C=C(\C=C\C=C(\C=C\C=1C(CCCC=1C)(C)C)/C)/C,-95.5305
OC(=O)\C=C(\C=C\C=C(\C=C\C=1C(CCCC=1C)(C)C)/C)/C,-95.0228
OC(=O)\C=C(\C=C\C=C(\C=C\C=1C(CCCC=1C)(C)C)/C)/C,-92.0928
OC(=O)\C=C(\C=C\C=C(\C=C\C=1C(CCCC=1C)(C)C)/C)/C,-95.3137
OC(=O)\C=C(\C=C\C=C(\C=C\C=1C(CCCC=1C)(C)C)/C)/C,-95.2108
OC(=O)\C=C(\C=C\C=C(\C=C\C=1C(CCCC=1C)(C)C)/C)/C,-86.1561
OC(=O)\C=C(\C=C\C=C(\C=C\C=1C(CCCC=1C)(C)C)/C)/C,-84.6098
OC(=O)\C=C(\C=C\C=C(\C=C\C=1C(CCCC=1C)(C)C)/C)/C,-84.281
OC(=O)\C=C(\C=C\C=C(\C=C\C=1C(CCCC=1C)(C)C)/C)/C,-88.4863
OC(=O)\C=C(\C=C\C=C(\C=C\C=1C(CCCC=1C)(C)C)/C)/C,-86.0968
OC(=O)\C=C(\C=C\C=C(\C=C\C=1C(CCCC=1C)(C)C)/C)/C,-85.4759
OC(=O)\C=C(\C=C\C=C(\C=C\C=1C(CCCC=1C)(C)C)/C)/C,-88.1752
OC(=O)\C=C(\C=C\C=C(\C=C\C=1C(CCCC=1C)(C)C)/C)/C,-85.2143
OC(=O)\C=C(\C=C\C=C(\C=C\C=1C(CCCC=1C)(C)C)/C)/C,-86.3988
OC(=O)\C=C(\C=C\C=C(\C=C\C=1C(CCCC=1C)(C)C)/C)/C,-85.8248
OC(=O)\C=C(\C=C\C=C(\C=C\C=1C(CCCC=1C)(C)C)/C)/C,-87.6763
OC(=O)\C=C(\C=C\C=C(\C=C\C=1C(CCCC=1C)(C)C)/C)/C,-84.806
OC(=O)\C=C(\C=C\C=C(\C=C\C=1C(CCCC=1C)(C)C)/C)/C,-84.2078
OC(=O)\C=C(\C=C\C=C(\C=C\C=1C(CCCC=1C)(C)C)/C)/C,-87.22
OC(=O)\C=C(\C=C\C=C(\C=C\C=1C(CCCC=1C)(C)C)/C)/C,-85.2165
OC(=O)\C=C(\C=C\C=C(\C=C\C=1C(CCCC=1C)(C)C)/C)/C,-86.5858
OC(=O)\C=C(\C=C\C=C(\C=C\C=1C(CCCC=1C)(C)C)/C)/C,-85.0118
OC(=O)\C=C(\C=C\C=C(\C=C\C=1C(CCCC=1C)(C)C)/C)/C,-89.2439
OC(=O)\C=C(\C=C\C=C(\C=C\C=1C(CCCC=1C)(C)C)/C)/C,-86.8888
OC(=O)\C=C(\C=C\C=C(\C=C\C=1C(CCCC=1C)(C)C)/C)/C,-85.6415
OC(=O)\C=C(\C=C\C=C(\C=C\C=1C(CCCC=1C)(C)C)/C)/C,-86.9375
OC(=O)\C=C(\C=C\C=C(\C=C\C=1C(CCCC=1C)(C)C)/C)/C,-84.831
OC(=O)\C=C(\C=C\C=C(\C=C\C=1C(CCCC=1C)(C)C)/C)/C,-86.5277
OC(=O)\C=C(\C=C\C=C(\C=C\C=1C(CCCC=1C)(C)C)/C)/C,-86.2214
OC(=O)\C=C(\C=C\C=C(\C=C\C=1C(CCCC=1C)(C)C)/C)/C,-85.5676
OC(=O)\C=C(\C=C\C=C(\C=C\C=1C(CCCC=1C)(C)C)/C)/C,-86.862
OC(=O)\C=C(\C=C\C=C(\C=C\C=1C(CCCC=1C)(C)C)/C)/C,-85.0187
OC(=O)\C=C(\C=C\C=C(\C=C\C=1C(CCCC=1C)(C)C)/C)/C,-88.1726
OC(=O)\C=C(\C=C\C=C(\C=C\C=1C(CCCC=1C)(C)C)/C)/C,-83.9694
OC(=O)\C=C(\C=C\C=C(\C=C\C=1C(CCCC=1C)(C)C)/C)/C,-88.3399
OC(=O)\C=C(\C=C\C=C(\C=C\C=1C(CCCC=1C)(C)C)/C)/C,-84.8778
OC(=O)\C=C(\C=C\C=C(\C=C\C=1C(CCCC=1C)(C)C)/C)/C,-85.8923
OC(=O)\C=C(\C=C\C=C(\C=C\C=1C(CCCC=1C)(C)C)/C)/C,-86.8423
s1c(nc(OCCOCC)c1C)-c1ccc(cc1)C(O)=O,-83.6096
s1c(nc(OCCOCC)c1C)-c1ccc(cc1)C(O)=O,-85.4296
s1c(nc(OCCOCC)c1C)-c1ccc(cc1)C(O)=O,-87.4373
s1c(nc(OCCOCC)c1C)-c1ccc(cc1)C(O)=O,-83.8307
s1c(nc(OCCOCC)c1C)-c1ccc(cc1)C(O)=O,-84.8073
s1c(nc(OCCOCC)c1C)-c1ccc(cc1)C(O)=O,-86.03
s1c(nc(OCCOCC)c1C)-c1ccc(cc1)C(O)=O,-87.3748
s1c(nc(OCCOCC)c1C)-c1ccc(cc1)C(O)=O,-84.1975
s1c(nc(OCCOCC)c1C)-c1ccc(cc1)C(O)=O,-88.7193
s1c(nc(OCCOCC)c1C)-c1ccc(cc1)C(O)=O,-89.0075
s1c(nc(OCCOCC)c1C)-c1ccc(cc1)C(O)=O,-84.1996
