mol,E_score1
Clc1cccc(Cl)c1-c1noc(CC)c1COc1cc(C)c(\C=C\c2ccc(cc2)C(O)=O)c(c1)C,-89.7912
Clc1cccc(Cl)c1-c1noc(CC)c1COc1cc(C)c(\C=C\c2ccc(cc2)C(O)=O)c(c1)C,-93.2535
Clc1cccc(Cl)c1-c1noc(CC)c1COc1cc(C)c(\C=C\c2ccc(cc2)C(O)=O)c(c1)C,-89.3776
Clc1cccc(Cl)c1-c1noc(CC)c1COc1cc(C)c(\C=C\c2ccc(cc2)C(O)=O)c(c1)C,-89.6094
Clc1cccc(Cl)c1-c1noc(CC)c1COc1cc(C)c(\C=C\c2ccc(cc2)C(O)=O)c(c1)C,-90.2844
Clc1cccc(Cl)c1-c1noc(CC)c1COc1cc(C)c(\C=C\c2ccc(cc2)C(O)=O)c(c1)C,-89.1139
Clc1cccc(Cl)c1-c1noc(CC)c1COc1cc(C)c(\C=C\c2ccc(cc2)C(O)=O)c(c1)C,-89.1732
Clc1cccc(Cl)c1-c1noc(CC)c1COc1cc(C)c(\C=C\c2ccc(cc2)C(O)=O)c(c1)C,-93.2943
Clc1cccc(Cl)c1-c1noc(CC)c1COc1cc(C)c(\C=C\c2ccc(cc2)C(O)=O)c(c1)C,-90.7314
Clc1cccc(Cl)c1-c1noc(CC)c1COc1cc(C)c(\C=C\c2ccc(cc2)C(O)=O)c(c1)C,-90.3257
Clc1cccc(Cl)c1-c1noc(CC)c1COc1cc(C)c(\C=C\c2ccc(cc2)C(O)=O)c(c1)C,-91.4216
Clc1cccc(Cl)c1-c1noc(CC)c1COc1cc(C)c(\C=C\c2ccc(cc2)C(O)=O)c(c1)C,-89.7009
Clc1cccc(Cl)c1-c1noc(CC)c1COc1cc(C)c(\C=C\c2ccc(cc2)C(O)=O)c(c1)C,-90.1421
Clc1cccc(Cl)c1-c1noc(CC)c1COc1cc(C)c(\C=C\c2ccc(cc2)C(O)=O)c(c1)C,-89.9485
Clc1cccc(Cl)c1-c1noc(CC)c1COc1cc(C)c(\C=C\c2ccc(cc2)C(O)=O)c(c1)C,-88.6916
Clc1cccc(Cl)c1-c1noc(CC)c1COc1cc(C)c(\C=C\c2ccc(cc2)C(O)=O)c(c1)C,-87.7923
Clc1cccc(Cl)c1-c1noc(CC)c1COc1cc(C)c(\C=C\c2ccc(cc2)C(O)=O)c(c1)C,-89.8729
Clc1cccc(Cl)c1-c1noc(CC)c1COc1cc(C)c(\C=C\c2ccc(cc2)C(O)=O)c(c1)C,-88.1106
Clc1cccc(Cl)c1-c1noc(CC)c1COc1cc(C)c(\C=C\c2ccc(cc2)C(O)=O)c(c1)C,-89.0413
Clc1cccc(Cl)c1-c1noc(CC)c1COc1cc(C)c(\C=C\c2ccc(cc2)C(O)=O)c(c1)C,-92.6132
Clc1cccc(Cl)c1-c1noc(CC)c1COc1cc(C)c(\C=C\c2ccc(cc2)C(O)=O)c(c1)C,-90.373
Clc1cccc(Cl)c1-c1noc(CC)c1COc1cc(C)c(\C=C\c2ccc(cc2)C(O)=O)c(c1)C,-93.1295
Clc1cccc(Cl)c1-c1noc(CC)c1COc1cc(C)c(\C=C\c2ccc(cc2)C(O)=O)c(c1)C,-88.4776
Clc1cccc(Cl)c1-c1noc(CC)c1COc1cc(C)c(\C=C\c2ccc(cc2)C(O)=O)c(c1)C,-92.9268
Clc1cccc(Cl)c1-c1noc(CC)c1COc1cc(C)c(\C=C\c2ccc(cc2)C(O)=O)c(c1)C,-91.0267
Clc1cccc(Cl)c1-c1noc(CC)c1COc1cc(C)c(\C=C\c2ccc(cc2)C(O)=O)c(c1)C,-92.0875
Clc1cccc(Cl)c1-c1noc(CC)c1COc1cc(C)c(\C=C\c2ccc(cc2)C(O)=O)c(c1)C,-89.6296
Clc1cccc(Cl)c1-c1noc(CC)c1COc1cc(C)c(\C=C\c2ccc(cc2)C(O)=O)c(c1)C,-94.1578
Clc1cccc(Cl)c1-c1noc(CC)c1COc1cc(C)c(\C=C\c2ccc(cc2)C(O)=O)c(c1)C,-90.8995
Clc1cccc(Cl)c1-c1noc(CC)c1COc1cc(C)c(\C=C\c2ccc(cc2)C(O)=O)c(c1)C,-90.8591
Clc1cccc(Cl)c1-c1noc(CC)c1COc1cc(C)c(\C=C\c2ccc(cc2)C(O)=O)c(c1)C,-91.3234
