mol,rseq,mseq,S,E_conf,E_place,E_score1
Ic1cc(cc(I)c1Oc1cc(I)c(O)cc1)C[C@H](N)C(O)=O,1,25,-13.78867,68.808754,-68.67234,-13.78867
Ic1cc(cc(I)c1Oc1cc(I)c(O)cc1)C[C@H](N)C(O)=O,1,26,-13.959302,68.813156,-97.58847,-13.959302
Ic1cc(cc(I)c1Oc1cc(I)c(O)cc1)C[C@H](N)C(O)=O,1,27,-13.063568,68.819649,-79.961464,-13.063568
Ic1cc(cc(I)c1Oc1cc(I)c(O)cc1)C[C@H](N)C(O)=O,1,28,-12.770973,68.898193,-72.968109,-12.770973
Ic1cc(cc(I)c1Oc1cc(I)c(O)cc1)C[C@H](N)C(O)=O,1,29,-13.635369,68.927505,-84.688675,-13.635369
Ic1cc(cc(I)c1Oc1cc(I)c(O)cc1)C[C@H](N)C(O)=O,1,30,-12.134233,68.958717,-84.314552,-12.134233
Ic1cc(cc(I)c1Oc1cc(I)c(O)cc1)C[C@H](N)C(O)=O,1,31,-13.478273,69.046135,-79.045815,-13.478273
Ic1cc(cc(I)c1Oc1cc(I)c(O)cc1)C[C@H](N)C(O)=O,1,32,-13.537039,69.145187,-87.383392,-13.537039
Ic1cc(cc(I)c1Oc1cc(I)c(O)cc1)C[C@H](N)C(O)=O,1,33,-13.614595,69.224541,-94.560158,-13.614595
Ic1cc(cc(I)c1Oc1cc(I)c(O)cc1)C[C@H](N)C(O)=O,1,34,-12.765401,69.322762,-91.199226,-12.765401
Ic1cc(cc(I)c1Oc1cc(I)c(O)cc1)C[C@H](N)C(O)=O,1,35,-13.631916,69.481789,-84.7826,-13.631916
Ic1cc(cc(I)c1Oc1cc(I)c(O)cc1)C[C@H](N)C(O)=O,1,36,-13.588098,69.565704,-104.00507,-13.588098
Ic1cc(cc(I)c1Oc1cc(C)c(O)cc1)CC1NC(=O)NC1=O,1,1,-13.25176,39.287052,-86.179924,-13.25176
Ic1cc(cc(I)c1Oc1cc(C)c(O)cc1)CC1NC(=O)NC1=O,1,2,-10.540733,39.40321,-68.347374,-10.540733
Ic1cc(cc(I)c1Oc1cc(C)c(O)cc1)CC1NC(=O)NC1=O,1,3,-13.408039,39.492161,-103.13946,-13.408039
Ic1cc(cc(I)c1Oc1cc(C)c(O)cc1)CC1NC(=O)NC1=O,1,4,-14.011055,39.521687,-95.270737,-14.011055
Ic1cc(cc(I)c1Oc1cc(C)c(O)cc1)CC1NC(=O)NC1=O,1,5,-13.239489,39.545799,-122.25858,-13.239489
Ic1cc(cc(I)c1Oc1cc(C)c(O)cc1)CC1NC(=O)NC1=O,1,6,-11.4801,39.549919,-62.795498,-11.4801
Ic1cc(cc(I)c1Oc1cc(C)c(O)cc1)CC1NC(=O)NC1=O,1,7,-10.741574,39.582035,-69.070778,-10.741574
Ic1cc(cc(I)c1Oc1cc(C)c(O)cc1)CC1NC(=O)NC1=O,1,8,-12.518847,39.734154,-78.227264,-12.518847
Ic1cc(cc(I)c1Oc1cc(C)c(O)cc1)CC1NC(=O)NC1=O,1,9,-11.683688,39.780891,-89.026382,-11.683688
Ic1cc(cc(I)c1Oc1cc(C)c(O)cc1)CC1NC(=O)NC1=O,1,10,-12.584921,39.797966,-99.34845,-12.584921
Ic1cc(cc(I)c1Oc1cc(C)c(O)cc1)CC1NC(=O)NC1=O,1,11,-12.20222,40.013725,-90.017807,-12.20222
Ic1cc(cc(I)c1Oc1cc(C)c(O)cc1)CC1NC(=O)NC1=O,1,12,-11.625705,40.020004,-104.81258,-11.625705
Ic1cc(cc(I)c1Oc1cc(C)c(O)cc1)CC1NC(=O)NC1=O,1,13,-13.258699,40.209366,-123.37831,-13.258699
Ic1cc(cc(I)c1Oc1cc(C)c(O)cc1)CC1NC(=O)NC1=O,1,14,-13.332578,40.491035,-84.576965,-13.332578
Ic1cc(cc(I)c1Oc1cc(I)c(O)cc1)C[C@H](N)C(O)=O,1,15,-13.206926,68.049744,-72.736816,-13.206926
Ic1cc(cc(I)c1Oc1cc(I)c(O)cc1)C[C@H](N)C(O)=O,1,16,-12.306388,68.222099,-95.112106,-12.306388
Ic1cc(cc(I)c1Oc1cc(I)c(O)cc1)C[C@H](N)C(O)=O,1,17,-11.974864,68.23555,-89.73027,-11.974864
Ic1cc(cc(I)c1Oc1cc(I)c(O)cc1)C[C@H](N)C(O)=O,1,18,-13.312804,68.342232,-90.425385,-13.312804
Ic1cc(cc(I)c1Oc1cc(I)c(O)cc1)C[C@H](N)C(O)=O,1,19,-13.036027,68.369003,-64.11557,-13.036027
Ic1cc(cc(I)c1Oc1cc(I)c(O)cc1)C[C@H](N)C(O)=O,1,20,-14.716711,68.424706,-116.84913,-14.716711
Ic1cc(cc(I)c1Oc1cc(I)c(O)cc1)C[C@H](N)C(O)=O,1,21,-14.859407,68.443954,-112.48724,-14.859407
Ic1cc(cc(I)c1Oc1cc(I)c(O)cc1)C[C@H](N)C(O)=O,1,22,-13.294765,68.514503,-83.334991,-13.294765
Ic1cc(cc(I)c1Oc1cc(I)c(O)cc1)C[C@H](N)C(O)=O,1,23,-14.942779,68.647697,-122.70219,-14.942779
Ic1cc(cc(I)c1Oc1cc(I)c(O)cc1)C[C@H](N)C(O)=O,1,24,-13.738828,68.728516,-117.20376,-13.738828
Ic1cc(cc(I)c1Oc1cc(C2CC2)c(O)cc1)CC1NC(=O)NC1=O,1,97,-10.674628,46.545887,-67.867859,-10.674628
Ic1cc(cc(I)c1Oc1cc(C2CC2)c(O)cc1)CC1NC(=O)NC1=O,1,98,-11.402041,46.833454,-66.868492,-11.402041
Ic1cc(cc(I)c1Oc1cc(C2CC2)c(O)cc1)CC1NC(=O)NC1=O,1,99,-12.25562,46.86768,-89.546692,-12.25562
Ic1cc(cc(I)c1Oc1cc(C2CC2)c(O)cc1)CC1NC(=O)NC1=O,1,100,-10.647087,46.985741,-95.200783,-10.647087
Ic1cc(cc(I)c1Oc1cc(C2CC2)c(O)cc1)CC1NC(=O)NC1=O,1,101,-11.796637,47.035172,-95.620605,-11.796637
Ic1cc(cc(I)c1Oc1cc(C2CC2)c(O)cc1)CC1NC(=O)NC1=O,1,102,-10.547812,47.093491,-75.214561,-10.547812
Ic1cc(cc(I)c1Oc1cc(C2CC2)c(O)cc1)CC1NC(=O)NC1=O,1,103,-12.255256,47.21648,-84.743965,-12.255256
Ic1cc(cc(I)c1Oc1cc(C2CC2)c(O)cc1)CC1NC(=O)NC1=O,1,104,-12.999952,47.249195,-79.195518,-12.999952
Ic1cc(cc(I)c1Oc1cc(C2CC2)c(O)cc1)CC1NC(=O)NC1=O,1,105,-13.083529,47.420155,-100.49078,-13.083529
Ic1cc(cc(I)c1Oc1cc(C2CC2)c(O)cc1)CC1NC(=O)NC1=O,1,106,-13.913232,47.421219,-101.71805,-13.913232
Ic1cc(cc(I)c1Oc1cc(C2CC2)c(O)cc1)CC1NC(=O)NC1=O,1,107,-9.9882097,47.446777,-66.198784,-9.9882097
Ic1cc(cc(I)c1Oc1cc(C2CC2)c(O)cc1)CC1NC(=O)NC1=O,1,108,-11.963976,47.455696,-71.897514,-11.963976
Brc1cc(cc(Br)c1Oc1cc(C(C)C)c(O)cc1)CC(O)=O,1,49,-12.6058,54.751812,-96.047707,-12.6058
Brc1cc(cc(Br)c1Oc1cc(C(C)C)c(O)cc1)CC(O)=O,1,50,-13.622732,55.010738,-92.64489,-13.622732
Brc1cc(cc(Br)c1Oc1cc(C(C)C)c(O)cc1)CC(O)=O,1,51,-14.041288,55.01936,-143.21272,-14.041288
Brc1cc(cc(Br)c1Oc1cc(C(C)C)c(O)cc1)CC(O)=O,1,52,-11.083945,55.45776,-86.607658,-11.083945
Brc1cc(cc(Br)c1Oc1cc(C(C)C)c(O)cc1)CC(O)=O,1,53,-13.371601,55.544632,-75.400764,-13.371601
Brc1cc(cc(Br)c1Oc1cc(C(C)C)c(O)cc1)CC(O)=O,1,54,-13.528899,55.584431,-112.68151,-13.528899
Brc1cc(cc(Br)c1Oc1cc(C(C)C)c(O)cc1)CC(O)=O,1,55,-14.094042,55.791653,-84.549393,-14.094042
Brc1cc(cc(Br)c1Oc1cc(C(C)C)c(O)cc1)CC(O)=O,1,56,-11.035761,56.38623,-86.839394,-11.035761
Brc1cc(cc(Br)c1Oc1cc(C(C)C)c(O)cc1)CC(O)=O,1,57,-11.413049,56.386425,-73.53833,-11.413049
Ic1cc(cc(I)c1Oc1cc(Br)c(O)cc1)CC1NC(=O)NC1=O,1,58,-10.426811,38.61972,-49.011906,-10.426811
Ic1cc(cc(I)c1Oc1cc(Br)c(O)cc1)CC1NC(=O)NC1=O,1,59,-12.447568,38.773598,-81.512955,-12.447568
Ic1cc(cc(I)c1Oc1cc(Br)c(O)cc1)CC1NC(=O)NC1=O,1,60,-13.706161,38.814808,-110.10542,-13.706161
Ic1cc(cc(I)c1Oc1cc(CC)c(O)cc1)CC1NC(=O)NC1=O,1,133,-12.28369,38.874638,-103.37361,-12.28369
Ic1cc(cc(I)c1Oc1cc(CC)c(O)cc1)CC1NC(=O)NC1=O,1,134,-12.87421,38.880184,-89.29744,-12.87421
Ic1cc(cc(I)c1Oc1cc(CC)c(O)cc1)CC1NC(=O)NC1=O,1,135,-9.9912024,38.897831,-51.994671,-9.9912024
Ic1cc(cc(I)c1Oc1cc(CC)c(O)cc1)CC1NC(=O)NC1=O,1,136,-9.2179937,38.930931,-45.147797,-9.2179937
Ic1cc(cc(I)c1Oc1cc(CC)c(O)cc1)CC1NC(=O)NC1=O,1,137,-10.85627,39.069706,-47.01265,-10.85627
Ic1cc(cc(I)c1Oc1cc(CC)c(O)cc1)CC1NC(=O)NC1=O,1,138,-10.929209,39.089996,-79.957649,-10.929209
Ic1cc(cc(I)c1Oc1cc(CC)c(O)cc1)CC1NC(=O)NC1=O,1,139,-11.94745,39.092766,-122.30273,-11.94745
Ic1cc(cc(I)c1Oc1cc(CC)c(O)cc1)CC1NC(=O)NC1=O,1,140,-14.273825,39.094513,-128.15233,-14.273825
Ic1cc(cc(I)c1Oc1cc(CC)c(O)cc1)CC1NC(=O)NC1=O,1,141,-12.165455,39.202602,-78.928604,-12.165455
Ic1cc(cc(I)c1Oc1cc(CC)c(O)cc1)CC1NC(=O)NC1=O,1,142,-11.983912,39.216396,-75.222466,-11.983912
Ic1cc(cc(I)c1Oc1cc(CC)c(O)cc1)CC1NC(=O)NC1=O,1,143,-14.859493,39.239792,-137.92989,-14.859493
Ic1cc(cc(I)c1Oc1cc(CC)c(O)cc1)CC1NC(=O)NC1=O,1,144,-13.277217,39.240955,-93.265022,-13.277217
Ic1cc(cc(I)c1Oc1cc(C2CC2)c(O)cc1)CC1NC(=O)NC1=O,1,121,-10.134157,49.097969,-60.268059,-10.134157
Ic1cc(cc(I)c1Oc1cc(C2CC2)c(O)cc1)CC1NC(=O)NC1=O,1,122,-12.646529,49.164719,-80.492805,-12.646529
Ic1cc(cc(I)c1Oc1cc(C2CC2)c(O)cc1)CC1NC(=O)NC1=O,1,123,-11.823402,49.217529,-62.907761,-11.823402
Ic1cc(cc(I)c1Oc1cc(C2CC2)c(O)cc1)CC1NC(=O)NC1=O,1,124,-10.132169,49.938259,-77.159904,-10.132169
Ic1cc(cc(I)c1Oc1cc(C2CC2)c(O)cc1)CC1NC(=O)NC1=O,1,125,-10.337508,50.244892,-95.324852,-10.337508
Ic1cc(cc(I)c1Oc1cc(C2CC2)c(O)cc1)CC1NC(=O)NC1=O,1,126,-10.512093,50.654964,-64.51429,-10.512093
Ic1cc(cc(I)c1Oc1cc(C2CC2)c(O)cc1)CC1NC(=O)NC1=O,1,127,-12.101688,51.14571,-118.86408,-12.101688
Ic1cc(cc(I)c1Oc1cc(C2CC2)c(O)cc1)CC1NC(=O)NC1=O,1,128,-12.226727,51.184261,-76.210312,-12.226727
Ic1cc(cc(I)c1Oc1cc(C2CC2)c(O)cc1)CC1NC(=O)NC1=O,1,129,-13.359117,51.447655,-109.27608,-13.359117
Ic1cc(cc(I)c1Oc1cc(C2CC2)c(O)cc1)CC1NC(=O)NC1=O,1,130,-8.2746887,52.909286,-57.25943,-8.2746887
Ic1cc(cc(I)c1Oc1cc(C2CC2)c(O)cc1)CC1NC(=O)NC1=O,1,131,-10.446115,52.977482,-60.64888,-10.446115
Ic1cc(cc(I)c1Oc1cc(C2CC2)c(O)cc1)CC1NC(=O)NC1=O,1,132,-11.968106,53.360489,-95.204613,-11.968106
Ic1cc(cc(I)c1Oc1cc(C(C)C)c(O)cc1)CC1NC(=O)NC1=O,1,85,-13.130167,45.119186,-82.576569,-13.130167
Ic1cc(cc(I)c1Oc1cc(C(C)C)c(O)cc1)CC1NC(=O)NC1=O,1,86,-13.044774,45.169186,-90.666916,-13.044774
Ic1cc(cc(I)c1Oc1cc(C(C)C)c(O)cc1)CC1NC(=O)NC1=O,1,87,-11.25957,45.200474,-68.208458,-11.25957
Ic1cc(cc(I)c1Oc1cc(C(C)C)c(O)cc1)CC1NC(=O)NC1=O,1,88,-14.262788,45.250961,-103.33593,-14.262788
Ic1cc(cc(I)c1Oc1cc(C(C)C)c(O)cc1)CC1NC(=O)NC1=O,1,89,-11.514996,45.355408,-80.76387,-11.514996
Ic1cc(cc(I)c1Oc1cc(C(C)C)c(O)cc1)CC1NC(=O)NC1=O,1,90,-13.516677,45.419556,-101.48421,-13.516677
Ic1cc(cc(I)c1Oc1cc(C(C)C)c(O)cc1)CC1NC(=O)NC1=O,1,91,-13.88961,45.787621,-86.765358,-13.88961
Ic1cc(cc(I)c1Oc1cc(C(C)C)c(O)cc1)CC1NC(=O)NC1=O,1,92,-11.308789,45.80151,-104.74101,-11.308789
Ic1cc(cc(I)c1Oc1cc(C(C)C)c(O)cc1)CC1NC(=O)NC1=O,1,93,-13.158159,45.831631,-93.071716,-13.158159
Ic1cc(cc(I)c1Oc1cc(C(C)C)c(O)cc1)CC1NC(=O)NC1=O,1,94,-12.14652,46.066013,-68.254486,-12.14652
Ic1cc(cc(I)c1Oc1cc(C2CC2)c(O)cc1)CC1NC(=O)NC1=O,1,95,-9.3028288,46.421631,-59.260235,-9.3028288
Ic1cc(cc(I)c1Oc1cc(C2CC2)c(O)cc1)CC1NC(=O)NC1=O,1,96,-8.8115883,46.539978,-56.09763,-8.8115883
Ic1cc(cc(I)c1Oc1cc(C(C)C)c(O)cc1)CC1NC(=O)NC1=O,1,73,-12.561177,44.237732,-89.726425,-12.561177
Ic1cc(cc(I)c1Oc1cc(C(C)C)c(O)cc1)CC1NC(=O)NC1=O,1,74,-11.178806,44.533394,-58.819702,-11.178806
Ic1cc(cc(I)c1Oc1cc(C(C)C)c(O)cc1)CC1NC(=O)NC1=O,1,75,-13.098379,44.541653,-93.235458,-13.098379
Ic1cc(cc(I)c1Oc1cc(C(C)C)c(O)cc1)CC1NC(=O)NC1=O,1,76,-10.797607,44.618923,-81.453209,-10.797607
Ic1cc(cc(I)c1Oc1cc(C(C)C)c(O)cc1)CC1NC(=O)NC1=O,1,77,-13.207682,44.772743,-112.72591,-13.207682
Ic1cc(cc(I)c1Oc1cc(C(C)C)c(O)cc1)CC1NC(=O)NC1=O,1,78,-12.506898,44.83852,-106.61833,-12.506898
Ic1cc(cc(I)c1Oc1cc(C(C)C)c(O)cc1)CC1NC(=O)NC1=O,1,79,-10.47934,44.84771,-78.162437,-10.47934
Ic1cc(cc(I)c1Oc1cc(C(C)C)c(O)cc1)CC1NC(=O)NC1=O,1,80,-8.2798672,44.862728,-28.502913,-8.2798672
Ic1cc(cc(I)c1Oc1cc(C(C)C)c(O)cc1)CC1NC(=O)NC1=O,1,81,-10.814094,44.953411,-95.392815,-10.814094
Ic1cc(cc(I)c1Oc1cc(C(C)C)c(O)cc1)CC1NC(=O)NC1=O,1,82,-13.83522,44.969181,-113.66378,-13.83522
Ic1cc(cc(I)c1Oc1cc(C(C)C)c(O)cc1)CC1NC(=O)NC1=O,1,83,-9.7006655,45.049923,-53.594601,-9.7006655
Ic1cc(cc(I)c1Oc1cc(C(C)C)c(O)cc1)CC1NC(=O)NC1=O,1,84,-12.163178,45.06929,-78.917435,-12.163178
Ic1cc(cc(I)c1Oc1cc(C2CC2)c(O)cc1)CC1NC(=O)NC1=O,1,109,-13.989534,47.631203,-113.31193,-13.989534
Ic1cc(cc(I)c1Oc1cc(C2CC2)c(O)cc1)CC1NC(=O)NC1=O,1,110,-12.365561,47.63541,-113.84928,-12.365561
Ic1cc(cc(I)c1Oc1cc(C2CC2)c(O)cc1)CC1NC(=O)NC1=O,1,111,-13.158902,47.667248,-97.905174,-13.158902
Ic1cc(cc(I)c1Oc1cc(C2CC2)c(O)cc1)CC1NC(=O)NC1=O,1,112,-13.286927,47.66798,-100.43065,-13.286927
Ic1cc(cc(I)c1Oc1cc(C2CC2)c(O)cc1)CC1NC(=O)NC1=O,1,113,-11.466852,47.788364,-70.283966,-11.466852
Ic1cc(cc(I)c1Oc1cc(C2CC2)c(O)cc1)CC1NC(=O)NC1=O,1,114,-12.18754,47.831314,-62.223396,-12.18754
Ic1cc(cc(I)c1Oc1cc(C2CC2)c(O)cc1)CC1NC(=O)NC1=O,1,115,-12.611025,48.069668,-58.13369,-12.611025
Ic1cc(cc(I)c1Oc1cc(C2CC2)c(O)cc1)CC1NC(=O)NC1=O,1,116,-14.012436,48.08728,-137.82721,-14.012436
Ic1cc(cc(I)c1Oc1cc(C2CC2)c(O)cc1)CC1NC(=O)NC1=O,1,117,-13.773628,48.088272,-129.39796,-13.773628
