mol,rseq,mseq,S,E_conf,E_place,E_score1
S=C1NC(=Nc2c1cccc2)c1cc(OC)ccc1,1,1,-5.9624152,52.23106,-64.553375,-5.9624152
S=C1NC(=Nc2c1cccc2)c1cc(OC)ccc1,1,2,-6.5459137,52.231064,-55.759598,-6.5459137
S=C1NC(=Nc2c1cccc2)c1cc(OC)ccc1,1,3,-5.8232069,52.484806,-72.138481,-5.8232069
S=C1NC(=Nc2c1cccc2)c1cc(OC)ccc1,1,4,-5.7938437,52.484806,-61.271217,-5.7938437
S=C1NC(=Nc2c1cccc2)c1cc(OC)ccc1,1,5,-6.1240149,52.713356,-67.462555,-6.1240149
S=C1NC(=Nc2c1cccc2)c1cc(OC)ccc1,1,6,-6.0270658,52.71336,-64.946754,-6.0270658
S=C1NC(=Nc2c1cccc2)c1cc(OC)ccc1,1,7,-5.6825042,53.15287,-72.20092,-5.6825042
S=C1NC(=Nc2c1cccc2)c1cc(OC)ccc1,1,8,-5.7048273,53.15287,-72.466469,-5.7048273
Clc1cc(ccc1Cl)CO\N=C\c1n2C=CSc2nc1-c1ccc(Cl)cc1,1,9,-2.9178269,69.687492,-46.127884,-2.9178269
Clc1cc(ccc1Cl)CO\N=C\c1n2C=CSc2nc1-c1ccc(Cl)cc1,1,10,-4.7433105,69.6875,-61.470623,-4.7433105
Clc1cc(ccc1Cl)CO\N=C\c1n2C=CSc2nc1-c1ccc(Cl)cc1,1,11,-5.4352593,69.793999,-69.678535,-5.4352593
Clc1cc(ccc1Cl)CO\N=C\c1n2C=CSc2nc1-c1ccc(Cl)cc1,1,12,-5.9615221,69.793999,-71.264442,-5.9615221
Clc1cc(ccc1Cl)CO\N=C\c1n2C=CSc2nc1-c1ccccc1,1,85,-7.018292,70.576607,-84.505875,-7.018292
Clc1cc(ccc1Cl)CO\N=C\c1n2C=CSc2nc1-c1ccccc1,1,86,-5.978488,70.587288,-70.287064,-5.978488
Clc1cc(ccc1Cl)CO\N=C\c1n2C=CSc2nc1-c1ccccc1,1,87,-8.5045919,70.587296,-76.696281,-8.5045919
Clc1cc(ccc1Cl)CO\N=C\c1n2C=CSc2nc1-c1ccccc1,1,88,-2.8445158,71.584267,-60.967125,-2.8445158
Clc1cc(ccc1Cl)CO\N=C\c1n2C=CSc2nc1-c1ccccc1,1,89,-7.3114119,72.092651,-84.673439,-7.3114119
