mol,rseq,mseq,S,E_conf,E_place,E_score1
S=C1NC(=Nc2c1cccc2)c1cc(OC)ccc1,1,1,-21.934778,52.23106,-38.704647,-21.934778
S=C1NC(=Nc2c1cccc2)c1cc(OC)ccc1,1,2,-23.509317,52.231064,-71.888565,-23.509317
S=C1NC(=Nc2c1cccc2)c1cc(OC)ccc1,1,3,-21.275433,52.484806,-81.508797,-21.275433
S=C1NC(=Nc2c1cccc2)c1cc(OC)ccc1,1,4,-19.841049,52.484806,-71.172943,-19.841049
S=C1NC(=Nc2c1cccc2)c1cc(OC)ccc1,1,5,-21.367258,52.713356,-67.462555,-21.367258
S=C1NC(=Nc2c1cccc2)c1cc(OC)ccc1,1,6,-20.85774,52.71336,-67.985954,-20.85774
S=C1NC(=Nc2c1cccc2)c1cc(OC)ccc1,1,7,-21.155313,53.15287,-65.089241,-21.155313
S=C1NC(=Nc2c1cccc2)c1cc(OC)ccc1,1,8,-22.267183,53.15287,-68.694435,-22.267183
Clc1cc(ccc1Cl)CO\N=C\c1n2C=CSc2nc1-c1ccc(Cl)cc1,1,9,-21.536909,69.687492,-26.906248,-21.536909
Clc1cc(ccc1Cl)CO\N=C\c1n2C=CSc2nc1-c1ccc(Cl)cc1,1,10,-21.296522,69.6875,-16.014875,-21.296522
Clc1cc(ccc1Cl)CO\N=C\c1n2C=CSc2nc1-c1ccc(Cl)cc1,1,11,-22.019375,69.793999,-11.211672,-22.019375
Clc1cc(ccc1Cl)CO\N=C\c1n2C=CSc2nc1-c1ccc(Cl)cc1,1,12,-21.281132,69.793999,-38.851021,-21.281132
Clc1cc(ccc1Cl)CO\N=C\c1n2C=CSc2nc1-c1ccccc1,1,85,-21.28529,70.576607,-67.118507,-21.28529
Clc1cc(ccc1Cl)CO\N=C\c1n2C=CSc2nc1-c1ccccc1,1,86,-21.160564,70.587288,-29.925991,-21.160564
Clc1cc(ccc1Cl)CO\N=C\c1n2C=CSc2nc1-c1ccccc1,1,87,-22.759293,70.587296,-84.42836,-22.759293
Clc1cc(ccc1Cl)CO\N=C\c1n2C=CSc2nc1-c1ccccc1,1,88,-18.727697,71.584267,-10.232936,-18.727697
Clc1cc(ccc1Cl)CO\N=C\c1n2C=CSc2nc1-c1ccccc1,1,89,-20.940624,72.092651,-20.240435,-20.940624
Clc1cc(ccc1Cl)CO\N=C\c1n2C=CSc2nc1-c1ccccc1,1,90,-20.200834,72.092659,-30.398119,-20.200834
Clc1cc(ccc1Cl)CO\N=C\c1n2C=CSc2nc1-c1ccccc1,1,91,-20.131788,72.339264,-51.619015,-20.131788
Clc1cc(ccc1Cl)CO\N=C\c1n2C=CSc2nc1-c1ccccc1,1,92,-19.998159,72.339287,-20.204311,-19.998159
Clc1cc(ccc1Cl)CO\N=C\c1n2C=CSc2nc1-c1ccccc1,1,93,-21.587755,72.462761,-44.518883,-21.587755
Clc1cc(ccc1Cl)CO\N=C\c1n2C=CSc2nc1-c1ccccc1,1,94,-20.440735,72.555466,-56.888206,-20.440735
Clc1cc(ccc1Cl)CO\N=C\c1n2C=CSc2nc1-c1ccccc1,1,95,-21.20109,72.635384,-33.449821,-21.20109
Clc1cc(ccc1Cl)CO\N=C\c1n2C=CSc2nc1-c1ccccc1,1,96,-20.793186,72.635399,-32.536831,-20.793186
Clc1cc(ccc1Cl)CO\N=C\c1n2C=CSc2nc1-c1ccc(Cl)cc1,1,25,-22.073179,70.91497,-62.951202,-22.073179
Clc1cc(ccc1Cl)CO\N=C\c1n2C=CSc2nc1-c1ccc(Cl)cc1,1,26,-20.845615,70.966347,-37.977928,-20.845615
Clc1cc(ccc1Cl)CO\N=C\c1n2C=CSc2nc1-c1ccc(Cl)cc1,1,27,-20.432859,70.966354,-39.544731,-20.432859
Clc1cc(ccc1Cl)CO\N=C\c1n2C=CSc2nc1-c1ccc(Cl)cc1,1,28,-20.22224,71.231636,-42.850597,-20.22224
Clc1cc(ccc1Cl)CO\N=C\c1n2C=CSc2nc1-c1ccc(Cl)cc1,1,29,-20.54006,71.231644,-48.227951,-20.54006
Clc1cc(ccc1Cl)CO\N=C\c1n2C=CSc2nc1-c1ccc(Cl)cc1,1,30,-20.514391,71.296158,-18.89139,-20.514391
Clc1cc(ccc1Cl)CO\N=C\c1n2C=CSc2nc1-c1ccc(Cl)cc1,1,31,-20.95137,71.296158,-34.288067,-20.95137
Clc1cc(ccc1Cl)CO\N=C\c1n2C=CSc2nc1-c1ccc(Cl)cc1,1,32,-18.435434,71.455391,-18.357912,-18.435434
Clc1cc(ccc1Cl)CO\N=C\c1n2C=CSc2nc1-c1ccc(Cl)cc1,1,33,-17.301123,71.455391,-16.23399,-17.301123
Clc1cc(ccc1Cl)CO\N=C\c1n2C=CSc2nc1-c1ccc(Cl)cc1,1,34,-19.618614,71.677147,-23.122051,-19.618614
Clc1cc(ccc1Cl)CO\N=C\c1n2C=CSc2nc1-c1ccc(Cl)cc1,1,35,-18.292213,71.72963,-9.3414831,-18.292213
Clc1cc(ccc1Cl)CO\N=C\c1n2C=CSc2nc1-c1ccc(Cl)cc1,1,36,-18.6793,71.72966,-35.870304,-18.6793
Brc1ccc(cc1)-c1nc2SC=Cn2c1\C=N\OCc1cc(Cl)c(Cl)cc1,1,121,-18.689362,71.768898,-0.69863945,-18.689362
Brc1ccc(cc1)-c1nc2SC=Cn2c1\C=N\OCc1cc(Cl)c(Cl)cc1,1,122,-20.306875,72.085304,-2.2254305,-20.306875
Brc1ccc(cc1)-c1nc2SC=Cn2c1\C=N\OCc1cc(Cl)c(Cl)cc1,1,123,-19.097565,72.08532,-4.0242114,-19.097565
Brc1ccc(cc1)-c1nc2SC=Cn2c1\C=N\OCc1cc(Cl)c(Cl)cc1,1,124,-19.939997,72.111115,-28.854242,-19.939997
Brc1ccc(cc1)-c1nc2SC=Cn2c1\C=N\OCc1cc(Cl)c(Cl)cc1,1,125,-19.641033,72.111122,-48.94389,-19.641033
