mol,E_score1
S=C1NC(=Nc2c1cccc2)c1cc(OC)ccc1,-80.6573
S=C1NC(=Nc2c1cccc2)c1cc(OC)ccc1,-80.669
S=C1NC(=Nc2c1cccc2)c1cc(OC)ccc1,-82.8163
S=C1NC(=Nc2c1cccc2)c1cc(OC)ccc1,-82.7647
S=C1NC(=Nc2c1cccc2)c1cc(OC)ccc1,-82.1755
S=C1NC(=Nc2c1cccc2)c1cc(OC)ccc1,-81.9919
S=C1NC(=Nc2c1cccc2)c1cc(OC)ccc1,-81.4337
S=C1NC(=Nc2c1cccc2)c1cc(OC)ccc1,-81.5783
Clc1cc(ccc1Cl)CO\N=C\c1n2C=CSc2nc1-c1ccc(Cl)cc1,-96.4539
Clc1cc(ccc1Cl)CO\N=C\c1n2C=CSc2nc1-c1ccc(Cl)cc1,-96.5685
Clc1cc(ccc1Cl)CO\N=C\c1n2C=CSc2nc1-c1ccc(Cl)cc1,-96.6156
Clc1cc(ccc1Cl)CO\N=C\c1n2C=CSc2nc1-c1ccc(Cl)cc1,-96.4345
Clc1cc(ccc1Cl)CO\N=C\c1n2C=CSc2nc1-c1ccccc1,-96.6957
Clc1cc(ccc1Cl)CO\N=C\c1n2C=CSc2nc1-c1ccccc1,-96.3948
Clc1cc(ccc1Cl)CO\N=C\c1n2C=CSc2nc1-c1ccccc1,-97.0095
Clc1cc(ccc1Cl)CO\N=C\c1n2C=CSc2nc1-c1ccccc1,-96.6873
Clc1cc(ccc1Cl)CO\N=C\c1n2C=CSc2nc1-c1ccccc1,-96.9534
Clc1cc(ccc1Cl)CO\N=C\c1n2C=CSc2nc1-c1ccccc1,-96.476
Clc1cc(ccc1Cl)CO\N=C\c1n2C=CSc2nc1-c1ccccc1,-96.332
Clc1cc(ccc1Cl)CO\N=C\c1n2C=CSc2nc1-c1ccccc1,-96.8265
Clc1cc(ccc1Cl)CO\N=C\c1n2C=CSc2nc1-c1ccccc1,-96.1586
Clc1cc(ccc1Cl)CO\N=C\c1n2C=CSc2nc1-c1ccccc1,-96.7683
Clc1cc(ccc1Cl)CO\N=C\c1n2C=CSc2nc1-c1ccccc1,-97.0729
