mol,rseq,mseq,S,E_conf,E_place,E_score1
S=C1NC(=Nc2c1cccc2)c1cc(OC)ccc1,1,1,-11.917602,52.23106,-83.352142,-11.917602
S=C1NC(=Nc2c1cccc2)c1cc(OC)ccc1,1,2,-10.273496,52.231064,-61.110611,-10.273496
S=C1NC(=Nc2c1cccc2)c1cc(OC)ccc1,1,3,-10.66827,52.484806,-60.244102,-10.66827
S=C1NC(=Nc2c1cccc2)c1cc(OC)ccc1,1,4,-11.117495,52.484806,-71.688622,-11.117495
S=C1NC(=Nc2c1cccc2)c1cc(OC)ccc1,1,5,-10.922018,52.713356,-81.689079,-10.922018
S=C1NC(=Nc2c1cccc2)c1cc(OC)ccc1,1,6,-10.985634,52.71336,-44.998337,-10.985634
S=C1NC(=Nc2c1cccc2)c1cc(OC)ccc1,1,7,-12.451149,53.15287,-78.000305,-12.451149
S=C1NC(=Nc2c1cccc2)c1cc(OC)ccc1,1,8,-11.430818,53.15287,-80.449448,-11.430818
Clc1cc(ccc1Cl)CO\N=C\c1n2C=CSc2nc1-c1ccc(Cl)cc1,1,9,-8.4569464,69.687492,-66.832436,-8.4569464
Clc1cc(ccc1Cl)CO\N=C\c1n2C=CSc2nc1-c1ccc(Cl)cc1,1,10,-9.3778849,69.6875,-71.88916,-9.3778849
Clc1cc(ccc1Cl)CO\N=C\c1n2C=CSc2nc1-c1ccc(Cl)cc1,1,11,-9.7366953,69.793999,-69.678535,-9.7366953
Clc1cc(ccc1Cl)CO\N=C\c1n2C=CSc2nc1-c1ccc(Cl)cc1,1,12,-8.3844128,69.793999,-78.562332,-8.3844128
Clc1cc(ccc1Cl)CO\N=C\c1n2C=CSc2nc1-c1ccccc1,1,85,-10.368572,70.576607,-84.505875,-10.368572
Clc1cc(ccc1Cl)CO\N=C\c1n2C=CSc2nc1-c1ccccc1,1,86,-10.303151,70.587288,-68.929886,-10.303151
Clc1cc(ccc1Cl)CO\N=C\c1n2C=CSc2nc1-c1ccccc1,1,87,-10.351876,70.587296,-76.696281,-10.351876
Clc1cc(ccc1Cl)CO\N=C\c1n2C=CSc2nc1-c1ccccc1,1,88,-9.851099,71.584267,-35.938545,-9.851099
Clc1cc(ccc1Cl)CO\N=C\c1n2C=CSc2nc1-c1ccccc1,1,89,-10.758394,72.092651,-33.035236,-10.758394
Clc1cc(ccc1Cl)CO\N=C\c1n2C=CSc2nc1-c1ccccc1,1,90,-9.879385,72.092659,-45.699108,-9.879385
Clc1cc(ccc1Cl)CO\N=C\c1n2C=CSc2nc1-c1ccccc1,1,91,-11.646111,72.339264,-33.37151,-11.646111
Clc1cc(ccc1Cl)CO\N=C\c1n2C=CSc2nc1-c1ccccc1,1,92,-10.741562,72.339287,-72.893501,-10.741562
Clc1cc(ccc1Cl)CO\N=C\c1n2C=CSc2nc1-c1ccccc1,1,93,-10.622645,72.462761,-87.297462,-10.622645
Clc1cc(ccc1Cl)CO\N=C\c1n2C=CSc2nc1-c1ccccc1,1,94,-10.455333,72.555466,-52.400574,-10.455333
Clc1cc(ccc1Cl)CO\N=C\c1n2C=CSc2nc1-c1ccccc1,1,95,-9.9205494,72.635384,-76.555214,-9.9205494
Clc1cc(ccc1Cl)CO\N=C\c1n2C=CSc2nc1-c1ccccc1,1,96,-10.464501,72.635399,-58.474285,-10.464501
Clc1cc(ccc1Cl)CO\N=C\c1n2C=CSc2nc1-c1ccc(Cl)cc1,1,25,-11.668242,70.91497,-64.498901,-11.668242
Clc1cc(ccc1Cl)CO\N=C\c1n2C=CSc2nc1-c1ccc(Cl)cc1,1,26,-10.549632,70.966347,-72.258575,-10.549632
Clc1cc(ccc1Cl)CO\N=C\c1n2C=CSc2nc1-c1ccc(Cl)cc1,1,27,-10.869059,70.966354,-70.335342,-10.869059
Clc1cc(ccc1Cl)CO\N=C\c1n2C=CSc2nc1-c1ccc(Cl)cc1,1,28,-10.305919,71.231636,-46.07037,-10.305919
Clc1cc(ccc1Cl)CO\N=C\c1n2C=CSc2nc1-c1ccc(Cl)cc1,1,29,-10.635635,71.231644,-76.820602,-10.635635
Clc1cc(ccc1Cl)CO\N=C\c1n2C=CSc2nc1-c1ccc(Cl)cc1,1,30,-10.766953,71.296158,-73.4487,-10.766953
Clc1cc(ccc1Cl)CO\N=C\c1n2C=CSc2nc1-c1ccc(Cl)cc1,1,31,-10.523019,71.296158,-65.901505,-10.523019
Clc1cc(ccc1Cl)CO\N=C\c1n2C=CSc2nc1-c1ccc(Cl)cc1,1,32,-9.2632732,71.455391,-49.163765,-9.2632732
Clc1cc(ccc1Cl)CO\N=C\c1n2C=CSc2nc1-c1ccc(Cl)cc1,1,33,-9.7356081,71.455391,-53.94817,-9.7356081
Clc1cc(ccc1Cl)CO\N=C\c1n2C=CSc2nc1-c1ccc(Cl)cc1,1,34,-10.867431,71.677147,-45.896915,-10.867431
Clc1cc(ccc1Cl)CO\N=C\c1n2C=CSc2nc1-c1ccc(Cl)cc1,1,35,-9.3385324,71.72963,-41.251781,-9.3385324
Clc1cc(ccc1Cl)CO\N=C\c1n2C=CSc2nc1-c1ccc(Cl)cc1,1,36,-9.0871887,71.72966,-48.862896,-9.0871887
Brc1ccc(cc1)-c1nc2SC=Cn2c1\C=N\OCc1cc(Cl)c(Cl)cc1,1,121,-9.4795322,71.768898,-44.028683,-9.4795322
Brc1ccc(cc1)-c1nc2SC=Cn2c1\C=N\OCc1cc(Cl)c(Cl)cc1,1,122,-9.6900005,72.085304,-41.132446,-9.6900005
Brc1ccc(cc1)-c1nc2SC=Cn2c1\C=N\OCc1cc(Cl)c(Cl)cc1,1,123,-9.2539558,72.08532,-59.926434,-9.2539558
Brc1ccc(cc1)-c1nc2SC=Cn2c1\C=N\OCc1cc(Cl)c(Cl)cc1,1,124,-10.632863,72.111115,-49.346638,-10.632863
Brc1ccc(cc1)-c1nc2SC=Cn2c1\C=N\OCc1cc(Cl)c(Cl)cc1,1,125,-10.8628,72.111122,-65.299118,-10.8628
Brc1ccc(cc1)-c1nc2SC=Cn2c1\C=N\OCc1cc(Cl)c(Cl)cc1,1,126,-10.98223,72.236183,-75.328033,-10.98223
Brc1ccc(cc1)-c1nc2SC=Cn2c1\C=N\OCc1cc(Cl)c(Cl)cc1,1,127,-9.8190546,72.29467,-76.504837,-9.8190546
Brc1ccc(cc1)-c1nc2SC=Cn2c1\C=N\OCc1cc(Cl)c(Cl)cc1,1,128,-10.131089,72.294678,-64.688683,-10.131089
Brc1ccc(cc1)-c1nc2SC=Cn2c1\C=N\OCc1cc(Cl)c(Cl)cc1,1,129,-9.4628248,72.367134,-71.776451,-9.4628248
Brc1ccc(cc1)-c1nc2SC=Cn2c1\C=N\OCc1cc(Cl)c(Cl)cc1,1,130,-9.8804979,72.367157,-66.845413,-9.8804979
Brc1ccc(cc1)-c1nc2SC=Cn2c1\C=N\OCc1cc(Cl)c(Cl)cc1,1,131,-10.629581,72.676651,-56.386147,-10.629581
Brc1ccc(cc1)-c1nc2SC=Cn2c1\C=N\OCc1cc(Cl)c(Cl)cc1,1,132,-10.771842,72.676651,-55.930725,-10.771842
Clc1cc(ccc1Cl)CO\N=C\c1n2C=CSc2nc1-c1ccccc1,1,97,-10.19541,72.74231,-69.086334,-10.19541
Clc1cc(ccc1Cl)CO\N=C\c1n2C=CSc2nc1-c1ccccc1,1,98,-10.303122,73.009094,-70.764793,-10.303122
Clc1cc(ccc1Cl)CO\N=C\c1n2C=CSc2nc1-c1ccccc1,1,99,-11.000163,73.013046,-66.511757,-11.000163
Clc1cc(ccc1Cl)CO\N=C\c1n2C=CSc2nc1-c1ccccc1,1,100,-10.169051,73.013184,-57.176979,-10.169051
Brc1ccc(cc1)-c1nc2SC=Cn2c1\C=N\OCc1cc(Cl)c(Cl)cc1,1,101,-10.841017,69.999413,-58.076572,-10.841017
Brc1ccc(cc1)-c1nc2SC=Cn2c1\C=N\OCc1cc(Cl)c(Cl)cc1,1,102,-10.402883,69.999413,-58.235142,-10.402883
Brc1ccc(cc1)-c1nc2SC=Cn2c1\C=N\OCc1cc(Cl)c(Cl)cc1,1,103,-10.799932,70.102295,-56.325691,-10.799932
Brc1ccc(cc1)-c1nc2SC=Cn2c1\C=N\OCc1cc(Cl)c(Cl)cc1,1,104,-10.503165,70.102303,-75.373901,-10.503165
Brc1ccc(cc1)-c1nc2SC=Cn2c1\C=N\OCc1cc(Cl)c(Cl)cc1,1,105,-10.705601,70.833916,-65.222366,-10.705601
Brc1ccc(cc1)-c1nc2SC=Cn2c1\C=N\OCc1cc(Cl)c(Cl)cc1,1,106,-10.607614,70.833923,-57.809601,-10.607614
Brc1ccc(cc1)-c1nc2SC=Cn2c1\C=N\OCc1cc(Cl)c(Cl)cc1,1,107,-10.196239,70.841461,-56.500904,-10.196239
Brc1ccc(cc1)-c1nc2SC=Cn2c1\C=N\OCc1cc(Cl)c(Cl)cc1,1,108,-10.727963,70.841461,-60.048859,-10.727963
Clc1cc(ccc1Cl)CO\N=C\c1n2C=CSc2nc1-c1ccc(Cl)cc1,1,61,-10.217194,71.231636,-70.562004,-10.217194
Clc1cc(ccc1Cl)CO\N=C\c1n2C=CSc2nc1-c1ccc(Cl)cc1,1,62,-10.875524,71.296158,-77.065392,-10.875524
Clc1cc(ccc1Cl)CO\N=C\c1n2C=CSc2nc1-c1ccc(Cl)cc1,1,63,-10.909366,71.296158,-46.212776,-10.909366
Clc1cc(ccc1Cl)CO\N=C\c1n2C=CSc2nc1-c1ccc(Cl)cc1,1,64,-11.440016,71.677147,-65.639351,-11.440016
Clc1cc(ccc1Cl)CO\N=C\c1n2C=CSc2nc1-c1ccc(Cl)cc1,1,65,-11.180996,71.677177,-68.71241,-11.180996
