mol,E_score1
s1c(nc(OCCOCC)c1C)-c1ccc(cc1)C(O)=O,-110.59
s1c(nc(OCCOCC)c1C)-c1ccc(cc1)C(O)=O,-110.298
s1c(nc(OCCOCC)c1C)-c1ccc(cc1)C(O)=O,-112.145
OC(=O)\C=C(\C=C\C=C(\C=C\C=1C(CCCC=1C)(C)C)/C)/C,-112.306
OC(=O)\C=C(\C=C\C=C(\C=C\C=1C(CCCC=1C)(C)C)/C)/C,-109.742
OC(=O)\C=C(\C=C\C=C(\C=C\C=1C(CCCC=1C)(C)C)/C)/C,-110.542
OC(=O)\C=C(\C=C\C=C(\C=C\C=1C(CCCC=1C)(C)C)/C)/C,-109.573
OC(=O)\C=C(\C=C\C=C(\C=C\C=1C(CCCC=1C)(C)C)/C)/C,-110.683
OC(=O)\C=C(\C=C\C=C(\C=C\C=1C(CCCC=1C)(C)C)/C)/C,-110.954
OC(=O)\C=C(\C=C\C=C(\C=C\C=1C(CCCC=1C)(C)C)/C)/C,-111.641
OC(=O)\C=C(\C=C\C=C(\C=C\C=1C(CCCC=1C)(C)C)/C)/C,-111.106
OC(=O)\C=C(\C=C\C=C(\C=C\C=1C(CCCC=1C)(C)C)/C)/C,-111.97
OC(=O)\C=C(\C=C\C=C(\C=C\C=1C(CCCC=1C)(C)C)/C)/C,-111.056
OC(=O)\C=C(\C=C\C=C(\C=C\C=1C(CCCC=1C)(C)C)/C)/C,-112.097
OC(=O)\C=C(\C=C\C=C(\C=C\C=1C(CCCC=1C)(C)C)/C)/C,-111.641
OC(=O)\C=C(\C=C\C=C(\C=C\C=1C(CCCC=1C)(C)C)/C)/C,-111.053
OC(=O)\C=C(\C=C\C=C(\C=C\C=1C(CCCC=1C)(C)C)/C)/C,-111.924
OC(=O)\C=C(\C=C\C=C(\C=C\C=1C(CCCC=1C)(C)C)/C)/C,-111.8
OC(=O)\C=C(\C=C\C=C(\C=C\C=1C(CCCC=1C)(C)C)/C)/C,-93.7374
OC(=O)\C=C(\C=C\C=C(\C=C\C=1C(CCCC=1C)(C)C)/C)/C,-93.3327
OC(=O)\C=C(\C=C\C=C(\C=C\C=1C(CCCC=1C)(C)C)/C)/C,-91.372
OC(=O)\C=C(\C=C\C=C(\C=C\C=1C(CCCC=1C)(C)C)/C)/C,-96.0662
OC(=O)\C=C(\C=C\C=C(\C=C\C=1C(CCCC=1C)(C)C)/C)/C,-91.5465
OC(=O)\C=C(\C=C\C=C(\C=C\C=1C(CCCC=1C)(C)C)/C)/C,-89.9072
OC(=O)\C=C(\C=C\C=C(\C=C\C=1C(CCCC=1C)(C)C)/C)/C,-93.2616
OC(=O)\C=C(\C=C\C=C(\C=C\C=1C(CCCC=1C)(C)C)/C)/C,-89.8998
OC(=O)\C=C(\C=C\C=C(\C=C\C=1C(CCCC=1C)(C)C)/C)/C,-91.3806
OC(=O)\C=C(\C=C\C=C(\C=C\C=1C(CCCC=1C)(C)C)/C)/C,-90.628
OC(=O)\C=C(\C=C\C=C(\C=C\C=1C(CCCC=1C)(C)C)/C)/C,-94.1547
OC(=O)\C=C(\C=C\C=C(\C=C\C=1C(CCCC=1C)(C)C)/C)/C,-89.9889
OC(=O)\C=C(\C=C\C=C(\C=C\C=1C(CCCC=1C)(C)C)/C)/C,-93.1487
OC(=O)\C=C(\C=C\C=C(\C=C\C=1C(CCCC=1C)(C)C)/C)/C,-94.1537
OC(=O)\C=C(\C=C\C=C(\C=C\C=1C(CCCC=1C)(C)C)/C)/C,-90.4176
OC(=O)\C=C(\C=C\C=C(\C=C\C=1C(CCCC=1C)(C)C)/C)/C,-92.2266
OC(=O)\C=C(\C=C\C=C(\C=C\C=1C(CCCC=1C)(C)C)/C)/C,-92.349
OC(=O)\C=C(\C=C\C=C(\C=C\C=1C(CCCC=1C)(C)C)/C)/C,-96.9701
OC(=O)\C=C(\C=C\C=C(\C=C\C=1C(CCCC=1C)(C)C)/C)/C,-93.3426
OC(=O)\C=C(\C=C\C=C(\C=C\C=1C(CCCC=1C)(C)C)/C)/C,-94.9121
OC(=O)\C=C(\C=C\C=C(\C=C\C=1C(CCCC=1C)(C)C)/C)/C,-92.6053
