,mean_docking_score_CHEMPLP_1DB1,std_docking_score_CHEMPLP_1DB1,mean_docking_score_london_1DB1,std_docking_score_london_1DB1,mean_docking_score_ASE_1DB1,std_docking_score_ASE_1DB1,mean_docking_score_AHB_1DB1,std_docking_score_AHB_1DB1,mean_docking_score_AdG_1DB1,std_docking_score_AdG_1DB1,mean_docking_score_CHEMPLP_3KPZ,std_docking_score_CHEMPLP_3KPZ,mean_docking_score_london_3KPZ,std_docking_score_london_3KPZ,mean_docking_score_ASE_3KPZ,std_docking_score_ASE_3KPZ,mean_docking_score_AHB_3KPZ,std_docking_score_AHB_3KPZ,mean_docking_score_AdG_3KPZ,std_docking_score_AdG_3KPZ
test_neg_mean_squared_error,-37.648893776514555,2.2451331745743364,-0.6702142318551736,0.05005914027223378,-2.3611849377291305,0.15234485108224233,-55.176976737746735,3.030226797714737,-2.2635415680338737,0.2596510267160711,-2.79710970089072,0.26654514402460705,-0.6669753344846348,0.03598106649117299,-2.298954901441637,0.13627331781060292,-66.51538817132145,2.8671956217550685,-2.478715861065548,0.19079540461884004
test_neg_mean_absolute_error,-4.530638443572671,0.12968747318674098,-0.6270683038163938,0.02412117675379373,-1.1572703234888446,0.036270046543540824,-5.566188337309022,0.163780716211765,-1.003254911445615,0.049037727739851274,-1.1242077969516466,0.03950280527658677,-0.6257851020942097,0.017817708393718216,-1.14128513216992,0.027596601072635382,-6.1419908562504215,0.16338267234222448,-1.1001168673592052,0.03576133294656265
test_r2,0.8533771946502899,0.008389246303472674,0.6355205711743348,0.017470322070233066,0.8826588044174477,0.008693858297965467,0.5641982149289828,0.021720537191848372,0.5945763229221053,0.0369685235818902,0.7311027348759697,0.022357708197982332,0.6251970540826012,0.011362166420811715,0.8809428791049992,0.008142284896806292,0.6364917828345986,0.01826113141106712,0.5753747839832208,0.03085925879609669
