,mean_docking_score_CHEMPLP_1DB1,std_docking_score_CHEMPLP_1DB1,mean_docking_score_london_1DB1,std_docking_score_london_1DB1,mean_docking_score_ASE_1DB1,std_docking_score_ASE_1DB1,mean_docking_score_AHB_1DB1,std_docking_score_AHB_1DB1,mean_docking_score_AdG_1DB1,std_docking_score_AdG_1DB1,mean_docking_score_CHEMPLP_3KPZ,std_docking_score_CHEMPLP_3KPZ,mean_docking_score_london_3KPZ,std_docking_score_london_3KPZ,mean_docking_score_ASE_3KPZ,std_docking_score_ASE_3KPZ,mean_docking_score_AHB_3KPZ,std_docking_score_AHB_3KPZ,mean_docking_score_AdG_3KPZ,std_docking_score_AdG_3KPZ
test_neg_mean_squared_error,-41.09503192005968,2.1693267006518395,-0.6087068377486585,0.04611086191914397,-2.2632770404176057,0.1451675631683925,-57.29590824835425,3.458999390342241,-2.0826638579992425,0.23040439367834392,-2.730896746841487,0.2726555273064449,-0.6116406613079527,0.03450748593589063,-2.0449521255227117,0.13046556628675424,-58.52075431871613,3.053689433809888,-2.1609526392412866,0.1798472583663465
test_neg_mean_absolute_error,-4.672015863633942,0.11048154191041837,-0.5964200684087893,0.02295455836015239,-1.1180235850473166,0.0337707277243283,-5.719992772535522,0.1776576671316122,-0.952811015138858,0.04450010799176148,-1.031705363334587,0.039019789907849226,-0.5973697187136647,0.019305635413875692,-1.065920579381053,0.030907028156953554,-5.771580632970604,0.14235669743528764,-0.9806494487368702,0.04055985900200378
test_r2,0.8400391143410489,0.005657429054163639,0.6690420666910151,0.014914857274743107,0.8875813711288029,0.00737614823088514,0.5477365261823905,0.018792843305814714,0.6270349909170636,0.03189281028370611,0.7376605773417596,0.020026128890622517,0.6562707813964399,0.012517486812915242,0.8941443588774785,0.0069527277766684385,0.6804509969391525,0.011997203630405144,0.6301392510463467,0.023888868583669346
