ds_score,pValue
CHEMPLP_1DB1,3.74792398702429e-09
london_1DB1,2.438250197197013e-09
ASE_1DB1,5.605774231022167e-09
AHB_1DB1,2.1315085184932875e-09
AdG_1DB1,5.4573949492623e-09
CHEMPLP_3KPZ,1.680776823890922e-08
london_3KPZ,3.74792398702429e-09
ASE_3KPZ,2.438250197197013e-09
AHB_3KPZ,2.438250197197013e-09
AdG_3KPZ,2.643036319255454e-09
