,mean_docking_score_CHEMPLP_1DB1,std_docking_score_CHEMPLP_1DB1,mean_docking_score_london_1DB1,std_docking_score_london_1DB1,mean_docking_score_ASE_1DB1,std_docking_score_ASE_1DB1,mean_docking_score_AHB_1DB1,std_docking_score_AHB_1DB1,mean_docking_score_AdG_1DB1,std_docking_score_AdG_1DB1,mean_docking_score_CHEMPLP_3KPZ,std_docking_score_CHEMPLP_3KPZ,mean_docking_score_london_3KPZ,std_docking_score_london_3KPZ,mean_docking_score_ASE_3KPZ,std_docking_score_ASE_3KPZ,mean_docking_score_AHB_3KPZ,std_docking_score_AHB_3KPZ,mean_docking_score_AdG_3KPZ,std_docking_score_AdG_3KPZ
test_neg_mean_squared_error,-83.0085901954479,4.728985388426475,-1.195328902308526,0.0922091918311389,-5.588586490727398,0.4450613119774905,-87.88571871763695,7.377020845762522,-3.2634432255609553,0.18473707876789064,-6.01059392122603,0.5292731269877318,-1.1759529365625903,0.07241104683205553,-5.39539240232131,0.4570932864502627,-105.49441824538069,7.686663349810568,-3.3843739989439774,0.17787072525845277
test_neg_mean_absolute_error,-6.544387524080906,0.10830733353316713,-0.8001481330636183,0.022928610335563798,-1.6911458711205938,0.05051685431527184,-6.902623942998128,0.20352017821367369,-1.3272223498495594,0.036387086610805294,-1.7202586912693576,0.047990389579090006,-0.7928059147577613,0.017406883805310292,-1.6642214582116108,0.05242134233038556,-7.637657136628076,0.19151536049339885,-1.3528909444743933,0.03826900012912726
test_r2,0.6766150028729231,0.019524109533388533,0.3493158074630478,0.04553045419157374,0.7222549880712317,0.02425042328335206,0.30627410535659505,0.05078354242234386,0.4146080822627984,0.02521619605053345,0.42271590422911787,0.031323747009144615,0.3381712101973556,0.04761466031076903,0.7206565481391601,0.024600382228516744,0.4232568503819925,0.047363522069923746,0.420226057303553,0.026077160992219548
