MODEL,CHEMPLP_1DB1,london_1DB1,ASE_1DB1,AHB_1DB1,AdG_1DB1,CHEMPLP_3KPZ,london_3KPZ,ASE_3KPZ,AHB_3KPZ,AdG_3KPZ
KR,83.0085901954479,1.195328902308526,5.588586490727398,87.88571871763695,3.263443225560956,6.01059392122603,1.1759529365625905,5.39539240232131,105.49441824538069,3.3843739989439774
MLP,37.64889377651456,0.6702142318551736,2.3611849377291305,55.176976737746735,2.2635415680338737,2.79710970089072,0.6669753344846348,2.298954901441637,66.51538817132145,2.478715861065548
SVR,41.09503192005968,0.6087068377486585,2.2632770404176057,57.29590824835425,2.0826638579992425,2.730896746841487,0.6116406613079527,2.044952125522712,58.52075431871613,2.1609526392412866
RF,45.55930642632195,0.6610014242107686,3.1246783148084765,51.02046131869347,2.3183278107954277,3.1693837140499994,0.6520357526894839,2.842444232018374,61.59800153488969,2.542698329168449
GB,39.3927876768612,0.6294028378041945,2.344145201203741,48.62329465209344,2.2377796437599087,2.79215674177008,0.6186032848520908,2.3403228075154345,57.66908588385919,2.3150454678963728
RID,57.65406861206312,0.8442592511175884,3.8171981976032137,64.94938786829816,3.0007551226737053,4.354292301480506,0.7972873556755209,3.673786131069385,77.08252707785844,3.025583466767133
